Date;SO2;NO2;O3;CO;PM10;PM2.5;Station code;Address;Latitude;Longitude
2017-04-30;0.008;0.03;0.073;0.725;86.583;52.125;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-05-01;0.005;0.033;0.062;0.646;83.542;48.25;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-05-02;0.005;0.05;0.045;0.717;90.458;49.417;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-05-03;0.004;0.04;0.064;0.612;61.083;32.0;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-05-04;0.005;0.043;0.038;0.567;57.333;32.458;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-05-05;0.004;0.02;0.042;0.379;46.75;21.042;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-05-06;0.004;0.022;0.041;0.342;158.792;16.958;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-05-07;0.005;0.024;0.044;0.404;79.167;13.042;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-05-08;0.007;0.043;0.046;0.612;152.5;35.875;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-05-09;0.005;0.044;0.024;0.571;115.625;30.458;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-05-10;0.003;0.025;0.035;0.454;39.625;17.083;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-05-11;0.005;0.044;0.034;0.617;66.875;31.458;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-05-12;0.006;0.047;0.036;0.717;72.625;44.417;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-05-13;0.004;0.03;0.042;0.533;45.292;24.333;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-05-14;0.004;0.02;0.044;0.346;48.333;10.5;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-05-15;0.004;0.029;0.031;0.408;37.25;8.167;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-05-16;0.005;0.033;0.03;0.45;31.083;12.917;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-05-17;0.005;0.037;0.034;0.529;32.542;16.083;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-05-18;0.006;0.043;0.045;0.588;42.083;25.208;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
